RA,DEC
0.008802000000002863,63.463078
0.018602999999984604,58.909149
0.044640000000015334,62.97147
0.05178699999999026,55.410862
0.08387399999998024,56.210224
0.0848659999999768,61.894894
0.09741999999999962,64.961372
0.1195030000000088,55.840004
0.12796400000001995,56.100788
0.12999700000000303,15.271665
0.1424559999999815,58.919308
0.14401700000001938,15.64543
0.151204000000007,62.843121
0.16615500000000338,62.612694
0.16796499999998105,74.957321
0.18537800000001425,75.06868
0.19388500000002296,64.370522
0.20204999999998563,85.358322
0.2030369999999948,56.784206
0.20782100000002401,59.146534
0.21848899999997684,57.137093
0.2253210000000081,56.000191
0.2698199999999815,79.603065
0.2785949999999957,61.684483
0.2810410000000161,64.754723
0.2862480000000005,73.554779
0.2898230000000126,57.527802
0.31470100000001366,61.947948
0.3193469999999934,15.392708
0.32951700000000983,65.130371
0.33738299999998844,74.798439
0.3387809999999831,70.698273
0.34122500000000855,73.481392
0.35142600000000357,61.573608
0.3516300000000001,62.874462
0.35405100000002676,62.498203
0.3583080000000223,70.18129
0.36297700000000077,56.674992
0.3642510000000243,64.567482
0.3644649999999956,61.641434
0.3680830000000128,56.748001
0.37434999999999263,70.880486
0.3820450000000051,61.621677
0.39890700000000834,70.472885
0.40161000000000513,0.235954
0.41116199999999026,56.049927
0.41250300000001516,62.775036
0.412571000000014,16.977688
0.41669899999999416,61.54147
0.4216660000000161,70.477448
0.4295060000000035,63.681614
0.4437780000000089,70.159119
0.4467650000000276,56.092991
0.44909699999999475,61.31897
0.4557140000000004,57.135109
0.4577669999999898,61.285881
0.46846199999998817,59.503342
0.4801919999999882,55.608967
0.49217399999997724,74.421051
0.5144389999999817,75.227936
0.5203960000000052,15.037718
0.5210700000000088,58.922775
0.5288160000000062,73.812744
0.5296149999999784,58.01886
0.5378469999999993,56.730766
0.5386760000000095,70.289139
0.577290000000005,55.934349
0.5801690000000121,80.707703
0.5822390000000155,61.983944
0.5964410000000271,59.554482
0.5973859999999718,64.993851
0.6002659999999764,16.427299
