RA,DEC
0.008802000000002863,63.463078
0.018602999999984604,58.909149
0.05178699999999026,55.410862
0.08387399999998024,56.210224
0.09741999999999962,64.961372
0.10458199999999351,70.675446
0.1195030000000088,55.840004
0.12796400000001995,56.100788
0.12999700000000303,15.271665
0.1424559999999815,58.919308
0.14401700000001938,15.64543
0.1457510000000184,58.004906
0.2030369999999948,56.784206
0.21848899999997684,57.137093
0.2253210000000081,56.000191
0.2334109999999896,57.864933
0.27302700000001323,58.265724
0.2810410000000161,64.754723
0.2898230000000126,57.527802
0.31195500000001175,69.976471
0.32951700000000983,65.130371
0.33738299999998844,74.798439
0.3387809999999831,70.698273
0.35405100000002676,62.498203
0.3642510000000243,64.567482
0.3680830000000128,56.748001
0.37434999999999263,70.880486
0.39890700000000834,70.472885
0.40161000000000513,0.235954
0.41116199999999026,56.049927
0.41250300000001516,62.775036
0.412571000000014,16.977688
0.4216660000000161,70.477448
0.4295060000000035,63.681614
0.4467650000000276,56.092991
0.46846199999998817,59.503342
0.4801919999999882,55.608967
0.5144389999999817,75.227936
0.5203960000000052,15.037718
0.5210700000000088,58.922775
0.5296149999999784,58.01886
0.577290000000005,55.934349
0.6002659999999764,16.427299
0.6012259999999969,16.914007
0.6091129999999794,70.689674
0.6200590000000261,64.134003
0.6228100000000154,62.369049
0.6430340000000001,64.499413
0.667412000000013,62.534988
0.6882209999999986,71.384674
0.7037199999999757,62.993919
0.7058809999999767,73.287109
0.7421360000000163,57.007027
0.7482160000000135,64.374329
0.7599460000000136,56.788574
0.7962860000000092,56.20364
0.8002629999999726,57.721729
0.8065040000000181,57.566372
0.8112909999999829,69.953316
0.8147440000000188,15.939857
0.8179959999999937,0.706513
0.834904999999992,70.879662
0.8396190000000274,57.148205
0.8440420000000017,63.851524
0.8537699999999973,56.940212
0.9203620000000114,70.716743
0.9204500000000166,58.2146
0.9229700000000207,75.971344
0.9237239999999929,56.974792
0.9415250000000128,71.118774
0.9446780000000103,70.027802
0.9510539999999992,62.8055
